valore,media,devstd,error
0,5.366666666666666,0.8802300297306879,5.366666666666666
5,13.286666666666667,0.945587652689383,8.286666666666667
10,20.583333333333332,0.9013491683581278,10.583333333333332
15,26.6,1.0409668775392324,11.600000000000001
20,32.36333333333334,1.0106401604934516,12.363333333333337
25,37.5,1.061645091828406,12.5
30,42.56666666666667,1.1268487843680097,12.56666666666667
35,48.00333333333333,1.2254228219396999,13.00333333333333
40,53.916666666666664,1.2602976060206414,13.916666666666664
45,58.89,1.167236681899565,13.89
50,63.973333333333336,1.1877111383030188,13.973333333333336
55,68.63,1.2321365732405871,13.629999999999995
60,73.69,1.2378776745396718,13.689999999999998
65,78.53,1.1343378720763737,13.530000000000001
70,83.26666666666667,1.1134127035306811,13.266666666666666
75,87.57666666666667,1.120255385758067,12.576666666666668
80,92.54333333333334,1.1543674036302753,12.543333333333337
85,97.66,1.4298770908659517,12.659999999999997
90,103.9,1.3200283771146588,13.900000000000006
95,109.21333333333334,1.2135614226912332,14.213333333333338
100,113.99,1.2656643925287028,13.989999999999995
105,118.83,1.2190379451459603,13.829999999999998
110,123.43666666666667,1.2534856640273004,13.436666666666667
115,127.78666666666666,1.3192004605337522,12.786666666666662
120,132.66666666666666,1.306872324725206,12.666666666666657
125,137.55333333333334,1.3905397843505813,12.553333333333342
130,142.75,1.5083380297665818,12.75
135,147.61,1.4895062143347393,12.610000000000014
140,152.69666666666666,1.357989693966275,12.696666666666658
145,157.68666666666667,1.3643167114662842,12.686666666666667
150,162.17,1.3343042730114407,12.169999999999987
155,166.68666666666667,1.4930683392848452,11.686666666666667
160,171.44333333333333,1.5301175623912093,11.443333333333328
165,176.37,1.723271757976514,11.370000000000005
170,181.80666666666667,1.7681563312089243,11.806666666666672
